Title,Rating,Genre,Actors,Runtime
Koombiyo,9.9,"[u'Crime,', u'Drama,', u'Thriller']",20 min
The Filthy Frank Show,9.8,"[u'Short,', u'Comedy,', u'Fantasy']",12 min
Game of Thrones,9.5,"[u'Action,', u'Adventure,', u'Drama']",57 min
Breaking Bad,9.5,"[u'Crime,', u'Drama,', u'Thriller']",49 min
Rick and Morty,9.3,"[u'Animation,', u'Adventure,', u'Comedy']",23 min
The Wire,9.3,"[u'Crime,', u'Drama,', u'Thriller']",59 min
TVF Pitchers,9.3,"[u'Comedy,', u'Drama']",40 min
Sherlock,9.2,"[u'Crime,', u'Drama,', u'Mystery']",88 min
The Sopranos,9.2,"[u'Crime,', u'Drama']",55 min
Avatar: The Last Airbender,9.2,"[u'Animation,', u'Action,', u'Adventure']",23 min
The World at War,9.2,"[u'Documentary,', u'History,', u'War']",52 min
Leyla ile Mecnun,9.2,"[u'Adventure,', u'Comedy,', u'Drama']",80 min
Firefly,9.1,"[u'Adventure,', u'Drama,', u'Sci-Fi']",44 min
Hagane no renkinjutsushi,9.1,"[u'Animation,', u'Action,', u'Adventure']",24 min
Stranger Things,9.0,"[u'Drama,', u'Fantasy,', u'Horror']",51 min
Fargo,9.0,"[u'Crime,', u'Drama,', u'Thriller']",53 min
True Detective,9.0,"[u'Crime,', u'Drama,', u'Mystery']",55 min
The Twilight Zone,9.0,"[u'Fantasy,', u'Horror,', u'Mystery']",51 min
